,Name,PuntV,LeagV,g,m/g,p/g,a/g,3/g,r/g,s/g,b/g,wft,wfg,neg to/g
0,Nikola Jokic,1.206958623,0.846672232,69,33.66763285,24.49275362,9.826086957,0.826086957,11.84057971,1.260869565,0.68115942,0.2292970682714647,2.3165042468996337,-3.579710145
1,Joel Embiid,1.165125359,0.830444328,66,34.60833333,33.07575758,4.151515152,1.0,10.15151515,1.0,1.696969697,0.8617150289012739,1.4587249852121078,-3.424242424
2,Shai Gilgeous-Alexander,0.988253593,0.754201754,68,35.52990196,31.39705882,5.455882353,0.852941176,4.838235294,1.647058824,0.955882353,1.3227529000784428,0.6921171564917902,-2.823529412
3,Anthony Davis,0.83958899,0.708996485,56,34.00863095,25.91071429,2.642857143,0.339285714,12.53571429,1.053571429,2.035714286,0.0017532280872073595,1.5067954813965316,-2.178571429
4,Kevin Durant,0.984244719,0.683828255,47,35.56843972,29.06382979,5.0,1.978723404,6.659574468,0.723404255,1.425531915,0.9636185738571985,1.5521305749495613,-3.319148936
5,Stephen Curry,0.871317786,0.599991599,56,34.6639881,29.42857143,6.285714286,4.875,6.089285714,0.928571429,0.357142857,0.657480241689841,0.35779551794803893,-3.196428571
6,Damian Lillard,0.867817,0.583847909,58,36.3204023,32.17241379,7.327586207,4.206896552,4.775862069,0.862068966,0.310344828,1.2546903118343826,-0.2721804806441532,-3.293103448
7,Tyrese Haliburton,0.729055119,0.565008068,56,33.62470238,20.71428571,10.44642857,2.875,3.660714286,1.625,0.446428571,0.31256975146146604,0.21320984343422292,-2.517857143
8,Kyrie Irving,0.654393431,0.550476356,60,37.34083333,27.05,5.516666667,3.133333333,5.066666667,1.1,0.75,0.5514565823441355,0.3622972698520088,-2.133333333
9,Jimmy Butler,0.559522383,0.540989229,64,33.40833333,22.90625,5.3125,0.5625,5.859375,1.828125,0.328125,0.5800425874390288,0.8840944271132982,-1.578125
10,Jayson Tatum,0.727032384,0.514611423,74,36.92207207,30.06756757,4.621621622,3.243243243,8.77027027,1.054054054,0.689189189,0.5895138886631386,-0.1974311223195984,-2.878378378
11,Jaren Jackson Jr.,0.524165089,0.493345609,63,28.37248677,18.61904762,0.952380952,1.587301587,6.761904762,1.031746032,3.0,0.019521065352663083,0.39647575939725227,-1.698412698
12,Kawhi Leonard,0.51748981,0.488234989,52,33.60801282,23.82692308,3.923076923,2.0,6.5,1.384615385,0.538461538,0.46896190298271356,0.6090168055128996,-1.692307692
13,Kristaps Porzingis,0.5575239,0.467826544,65,32.60846154,23.15384615,2.676923077,2.107692308,8.4,0.892307692,1.538461538,0.43135284394779494,0.3498704101545021,-2.107692308
14,Donovan Mitchell,0.595817177,0.429157814,68,35.76911765,28.26470588,4.426470588,3.602941176,4.25,1.455882353,0.397058824,0.4507197428185955,0.17756400656508006,-2.647058824
15,Luka Doncic,0.712441443,0.407634216,66,36.21994949,32.39393939,8.015151515,2.803030303,8.621212121,1.363636364,0.5,-0.43624974754071305,0.4502522106401074,-3.575757576
16,James Harden,0.671604699,0.400140348,58,36.81034483,20.96551724,10.65517241,2.775862069,6.103448276,1.224137931,0.534482759,0.5195496742545412,-0.5092404347335466,-3.362068966
17,Fred VanVleet,0.416371,0.352967063,69,36.73888889,19.34782609,7.173913043,3.0,4.057971014,1.782608696,0.550724638,0.4674169330067747,-1.3329541540027106,-2.028985507
18,Lauri Markkanen,0.396452404,0.349381127,66,34.43282828,25.62121212,1.863636364,3.03030303,8.636363636,0.636363636,0.575757576,0.5508863679263126,0.39891208887565427,-1.924242424
19,Myles Turner,0.302472959,0.301290075,62,29.43817204,17.9516129,1.435483871,1.5,7.516129032,0.580645161,2.258064516,-0.004246661237709127,0.8599178658598468,-1.661290323
20,Domantas Sabonis,0.47428311,0.285495075,79,34.62890295,19.11392405,7.253164557,0.392405063,12.3164557,0.82278481,0.493670886,-0.23038536163019377,1.6556613808099907,-2.911392405
21,Brook Lopez,0.227987922,0.274105458,78,30.41666667,15.88461538,1.269230769,1.743589744,6.666666667,0.474358974,2.474358974,0.0015781445475044128,0.6326844732548542,-1.371794872
22,LeBron James,0.507151054,0.270904547,55,35.52515152,28.90909091,6.818181818,2.2,8.309090909,0.909090909,0.581818182,-0.09499979107532476,0.5295764038664111,-3.236363636
23,Nicolas Claxton,0.207893831,0.270888428,76,29.8754386,12.64473684,1.894736842,0.0,9.236842105,0.855263158,2.486842105,-0.7862685958144524,1.7732435323344564,-1.263157895
24,Paul George,0.478434669,0.257983648,56,34.62410714,23.78571429,5.142857143,2.821428571,6.107142857,1.482142857,0.357142857,0.4577246250509254,-0.3321192867674526,-3.142857143
25,Nikola Vucevic,0.244773967,0.245441541,82,33.49004065,17.64634146,3.231707317,1.475609756,11.01219512,0.731707317,0.695121951,0.0999646382160495,0.6207452477719768,-1.695121951
26,O.G. Anunoby,0.253521852,0.216143457,67,35.60646766,16.7761194,1.955223881,2.119402985,4.955223881,1.910447761,0.746268657,0.13649308022648848,0.00013629355880753787,-1.970149254
27,DeMar DeRozan,0.255731752,0.204975717,74,36.23783784,24.54054054,5.094594595,0.621621622,4.635135135,1.121621622,0.486486486,0.6242801435160199,0.5022735952440105,-2.067567568
28,Devin Booker,0.334449469,0.184861942,53,34.63081761,27.75471698,5.528301887,2.094339623,4.528301887,0.962264151,0.339622642,0.48084092411002805,0.36665053782715806,-2.735849057
29,LaMelo Ball,0.45778457,0.180251331,36,35.2162037,23.27777778,8.444444444,4.0,6.416666667,1.277777778,0.305555556,0.1779265549990239,-1.304909495359878,-3.583333333
30,Chris Paul,0.201524219,0.175038482,59,32.01045198,13.88135593,8.881355932,1.661016949,4.254237288,1.542372881,0.372881356,0.1293216104968614,-0.4027942260945836,-1.93220339
31,Mikal Bridges,0.138703652,0.173399196,83,35.69919679,20.13253012,3.289156627,2.036144578,4.385542169,1.096385542,0.734939759,0.47472749868927283,-0.11694820218100267,-1.530120482
32,Jarrett Allen,0.094503067,0.156011383,68,32.64779412,14.25,1.661764706,0.014705882,9.794117647,0.794117647,1.235294118,-0.1642256919327602,1.547270126696081,-1.367647059
