Name,PuntV,LeagV,Punt+,Team,Pos,g,m/g,p/g,3/g,r/g,a/g,s/g,b/g,fg%,fga/g,ft%,fta/g,to/g
Nikola Jokic,1.206958623,0.846672232,0.360286391,DEN,C,69,33.66763285,24.49275362,0.826086957,11.84057971,9.826086957,1.260869565,0.68115942,0.632093933,14.8115942,0.821686747,6.014492754,3.579710145
Joel Embiid,1.165125359,0.830444328,0.334681031,PHI,PF/C,66,34.60833333,33.07575758,1,10.15151515,4.151515152,1,1.696969697,0.548192771,20.12121212,0.857328145,11.68181818,3.424242424
Shai Gilgeous-Alexander,0.988253593,0.754201754,0.234051838,OKC,PG/SG,68,35.52990196,31.39705882,0.852941176,4.838235294,5.455882353,1.647058824,0.955882353,0.509775525,20.30882353,0.905277402,10.86764706,2.823529412
Anthony Davis,0.83958899,0.708996485,0.130592505,LAL,PF/C,56,34.00863095,25.91071429,0.339285714,12.53571429,2.642857143,1.053571429,2.035714286,0.563409563,17.17857143,0.783783784,7.928571429,2.178571429
Kevin Durant,0.984244719,0.683828255,0.300416464,PHO,SF/PF,47,35.56843972,29.06382979,1.978723404,6.659574468,5,0.723404255,1.425531915,0.560324826,18.34042553,0.919161677,7.106382979,3.319148936
Stephen Curry,0.871317786,0.599991599,0.271326187,GSW,PG,56,34.6639881,29.42857143,4.875,6.089285714,6.285714286,0.928571429,0.357142857,0.493380406,20.23214286,0.914590747,5.017857143,3.196428571
Damian Lillard,0.867817,0.583847909,0.283969091,POR,PG,58,36.3204023,32.17241379,4.206896552,4.775862069,7.327586207,0.862068966,0.310344828,0.462562396,20.72413793,0.913978495,9.620689655,3.293103448
Tyrese Haliburton,0.729055119,0.565008068,0.16404705,IND,PG/SG,56,33.62470238,20.71428571,2.875,3.660714286,10.44642857,1.625,0.446428571,0.489892985,15.01785714,0.870646766,3.589285714,2.517857143
Kyrie Irving,0.654393431,0.550476356,0.103917075,DAL,PG/SG,60,37.34083333,27.05,3.133333333,5.066666667,5.516666667,1.1,0.75,0.493765586,20.05,0.904761905,4.55,2.133333333
Jimmy Butler,0.559522383,0.540989229,0.018533155,MIA,SF/PF,64,33.40833333,22.90625,0.5625,5.859375,5.3125,1.828125,0.328125,0.539414414,13.875,0.85045045,8.671875,1.578125
Jayson Tatum,0.727032384,0.514611423,0.212420961,BOS,SF/PF,74,36.92207207,30.06756757,3.243243243,8.77027027,4.621621622,1.054054054,0.689189189,0.466324567,21.06756757,0.853697749,8.405405405,2.878378378
Jaren Jackson Jr.,0.524165089,0.493345609,0.03081948,MEM,PF/C,63,28.37248677,18.61904762,1.587301587,6.761904762,0.952380952,1.031746032,3,0.506082725,13.04761905,0.787581699,4.857142857,1.698412698
Kawhi Leonard,0.51748981,0.488234989,0.029254821,LAC,SG/SF,52,33.60801282,23.82692308,2,6.5,3.923076923,1.384615385,0.538461538,0.512055109,16.75,0.870967742,5.365384615,1.692307692
