,Name,PuntV,LeagV,g,m/g,t p/g,t a/g,t 3/g,t r/g,t s/g,t b/g,t wft,t wfg,t to/g,p/g,a/g,3/g,r/g,s/g,b/g,wft,wfg,neg to/g
0,Nikola Jokic,1.206958623,0.846672232,69,33.66763285,1.000031984,1.000045702,0.888682883,1.150799821,1.070396497,0.892589225,0.229297068,1.53675074,0.138454368,24.49275362,9.826086957,0.826086957,11.84057971,1.260869565,0.68115942,0.229297068,2.316504247,-3.579710145
1,Joel Embiid,1.165125359,0.830444328,66,34.60833333,1.000034989,1.00002847,1,1.140778032,1,1.169417933,0.861715029,1.332808966,0.308429467,33.07575758,4.151515152,1,10.15151515,1,1.696969697,0.861715029,1.458724985,-3.424242424
2,Shai Gilgeous-Alexander,0.988253593,0.754201754,68,35.52990196,1.000034468,1.000033934,0.906418407,1.093731604,1.157710013,0.986735813,1.3227529,1.106934665,2.188525813,31.39705882,5.455882353,0.852941176,4.838235294,1.647058824,0.955882353,1.3227529,0.692117156,-2.823529412
3,Anthony Davis,0.83958899,0.708996485,56,34.00863095,1.000032547,1.000019437,0.512897231,1.154536886,1.015433358,1.234132124,0.001753228,1.345407165,7.757284262,25.91071429,2.642857143,0.339285714,12.53571429,1.053571429,2.035714286,0.001753228,1.506795481,-2.178571429
4,Kevin Durant,0.984244719,0.683828255,47,35.56843972,1.000033696,1.000032189,1.524323238,1.11377243,0.909350172,1.110626258,0.963618574,1.357144793,0.480889914,29.06382979,5,1.978723404,6.659574468,0.723404255,1.425531915,0.963618574,1.552130575,-3.319148936
5,Stephen Curry,0.871317786,0.599991599,56,34.6639881,1.00003382,1.000036766,2.660491788,1.108120287,0.978485601,0.737340437,0.657480242,0.989819843,0.753659609,29.42857143,6.285714286,4.875,6.089285714,0.928571429,0.357142857,0.657480242,0.357795518,-3.196428571
6,Damian Lillard,0.867817,0.583847909,58,36.3204023,1.000034712,1.000039834,2.428964817,1.092925383,0.957376735,0.707320858,1.254690312,0.723081482,0.531958988,32.17241379,7.327586207,4.206896552,4.775862069,0.862068966,0.310344828,1.254690312,-0.272180481,-3.293103448
7,Tyrese Haliburton,0.729055119,0.565008068,56,33.62470238,1.000030309,1.000046926,1.919997218,1.076533246,1.153137898,0.787675979,0.312569751,0.934587912,4.250709577,20.71428571,10.44642857,2.875,3.660714286,1.625,0.446428571,0.312569751,0.213209843,-2.517857143
8,Kyrie Irving,0.654393431,0.550476356,60,37.34083333,1.000032977,1.000034156,2.024805333,1.09660285,1.028366511,0.918386794,0.551456582,0.991491493,8.3371738,27.05,5.516666667,3.133333333,5.066666667,1.1,0.75,0.551456582,0.36229727,-2.133333333
9,Jimmy Butler,0.559522383,0.540989229,64,33.40833333,1.000031315,1.000033402,0.700891325,1.105699184,1.193695311,0.719079117,0.580042587,1.16846435,18.02092054,22.90625,5.3125,0.5625,5.859375,1.828125,0.328125,0.580042587,0.884094427,-1.578125
10,Jayson Tatum,0.727032384,0.514611423,74,36.92207207,1.000034035,1.000030615,2.068388196,1.131335533,1.015569849,0.895690324,0.589513889,0.758711596,1.91083298,30.06756757,4.621621622,3.243243243,8.77027027,1.054054054,0.689189189,0.589513889,-0.197431122,-2.878378378
11,Jaren Jackson Jr.,0.524165089,0.493345609,63,28.37248677,1.000029242,0.999999024,1.330293112,1.114738047,1.009214188,1.384201336,0.019521065,1.004092764,15.48657007,18.61904762,0.952380952,1.587301587,6.761904762,1.031746032,3,0.019521065,0.396475759,-1.698412698
12,Kawhi Leonard,0.51748981,0.488234989,52,33.60801282,1.000031709,1.000027338,1.534426988,1.112238351,1.100214286,0.832602898,0.468961903,1.079079751,15.60896988,23.82692308,3.923076923,2,6.5,1.384615385,0.538461538,0.468961903,0.609016806,-1.692307692
13,Kristaps Porzingis,0.5575239,0.467826544,65,32.60846154,1.000031422,1.000019694,1.584950539,1.128565557,0.967112587,1.135968847,0.431352844,0.986870181,8.678570776,23.15384615,2.676923077,2.107692308,8.4,0.892307692,1.538461538,0.431352844,0.34987041,-2.107692308
14,Donovan Mitchell,0.595817177,0.429157814,68,35.76911765,1.000033417,1.000029752,2.207227685,1.085703763,1.116540038,0.760825578,0.450719743,0.92048917,3.265911499,28.26470588,4.426470588,3.602941176,4.25,1.455882353,0.397058824,0.450719743,0.177564007,-2.647058824
15,Luka Doncic,0.712441443,0.407634216,66,36.21994949,1.00003478,1.000041628,1.890164872,1.130233949,1.095295586,0.814541438,-0.436249748,1.023603632,0.141695043,32.39393939,8.015151515,2.803030303,8.621212121,1.363636364,0.5,-0.436249748,0.450252211,-3.575757576
16,James Harden,0.671604699,0.400140348,58,36.81034483,1.000030429,1.000047322,1.878827343,1.108266594,1.061149204,0.830777449,0.519549674,0.600874927,0.404168711,20.96551724,10.65517241,2.775862069,6.103448276,1.224137931,0.534482759,0.519549674,-0.509240435,-3.362068966
17,Fred VanVleet,0.416371,0.352967063,69,36.73888889,1.000029626,1.00003941,1.971141488,1.082854728,1.184895148,0.838170088,0.467416933,0,9.785590276,19.34782609,7.173913043,3,4.057971014,1.782608696,0.550724638,0.467416933,-1.332954154,-2.028985507
18,Lauri Markkanen,0.396452404,0.349381127,66,34.43282828,1.000032435,1.000012451,1.98341658,1.13034674,0.87577279,0.849269105,0.550886368,1.004984981,11.4023585,25.62121212,1.863636364,3.03030303,8.636363636,0.636363636,0.575757576,0.550886368,0.398912089,-1.924242424
19,Myles Turner,0.302472959,0.301290075,62,29.43817204,1.000028877,1.00000723,1.284610805,1.121457325,0.852535642,1.272578947,-0.004246661,1.160920831,16.24099625,17.9516129,1.435483871,1.5,7.516129032,0.580645161,2.258064516,-0.004246661,0.859917866,-1.661290323
20,Domantas Sabonis,0.47428311,0.285495075,79,34.62890295,1.000029505,1.00003963,0.561112397,1.153379705,0.944361369,0.811476408,-0.230385362,1.383444187,1.755794436,19.11392405,7.253164557,0.392405063,12.3164557,0.82278481,0.493670886,-0.230385362,1.655661381,-2.911392405
21,Brook Lopez,0.227987922,0.274105458,78,30.41666667,1.000027654,1.000004768,1.409743652,1.113839804,0.803422366,1.307498964,0.001578145,1.087092398,22.99938125,15.88461538,1.269230769,1.743589744,6.666666667,0.474358974,2.474358974,0.001578145,0.632684473,-1.371794872
22,LeBron James,0.507151054,0.270904547,55,35.52515152,1.000033642,1.000038393,1.627475614,1.127867873,0.972415952,0.851904967,-0.094999791,1.051706044,0.655714203,28.90909091,6.818181818,2.2,8.309090909,0.909090909,0.581818182,-0.094999791,0.529576404,-3.236363636
23,Nicolas Claxton,0.207893831,0.270888428,76,29.8754386,1.000025373,1.000012782,0,1.13467295,0.955152329,1.309447624,-0.786268596,1.412497463,25.96144647,12.64473684,1.894736842,0,9.236842105,0.855263158,2.486842105,-0.786268596,1.773243532,-1.263157895
24,Paul George,0.478434669,0.257983648,56,34.62410714,1.000031691,1.000032753,1.897818773,1.108304708,1.122413331,0.737340437,0.457724625,0.693564527,0.900025451,23.78571429,5.142857143,2.821428571,6.107142857,1.482142857,0.357142857,0.457724625,-0.332119287,-3.142857143
25,Nikola Vucevic,0.244773967,0.245441541,82,33.49004065,1.000028706,1.00002346,1.271667894,1.146066171,0.912400973,0.897965256,0.099964638,1.083058419,15.55246529,17.64634146,3.231707317,1.475609756,11.01219512,0.731707317,0.695121951,0.099964638,0.620745248,-1.695121951
26,O.G. Anunoby,0.253521852,0.216143457,67,35.60646766,1.0000282,1.00001341,1.590384391,1.095217681,1.209226201,0.917032243,0.13649308,0.847193761,10.67309001,16.7761194,1.955223881,2.119402985,4.955223881,1.910447761,0.746268657,0.13649308,0.000136294,-1.970149254
27,DeMar DeRozan,0.255731752,0.204975717,74,36.23783784,1.000032004,1.000032564,0.745523057,1.091069275,1.034258059,0.807963472,0.624280144,1.042122269,9.231658708,24.54054054,5.094594595,0.621621622,4.635135135,1.121621622,0.486486486,0.624280144,0.502273595,-2.067567568
28,Devin Booker,0.334449469,0.184861942,53,34.63081761,1.000033235,1.000034198,1.578740679,1.089624368,0.988774399,0.726445678,0.480840924,0.993105352,2.687351103,27.75471698,5.528301887,2.094339623,4.528301887,0.962264151,0.339622642,0.480840924,0.366650538,-2.735849057
29,LaMelo Ball,0.45778457,0.180251331,36,35.2162037,1.000031475,1.000042671,2.354466181,1.111423046,1.074589297,0.704072837,0.177926555,0.027658608,0.135528284,23.27777778,8.444444444,4,6.416666667,1.277777778,0.305555556,0.177926555,-1.304909495,-3.583333333
30,Chris Paul,0.201524219,0.175038482,59,32.01045198,1.000026306,1.00004368,1.368122733,1.08576525,1.135611598,0.746810858,0.12932161,0.657602864,11.27354109,13.88135593,8.881355932,1.661016949,4.254237288,1.542372881,0.372881356,0.12932161,-0.402794226,-1.93220339
31,Mikal Bridges,0.138703652,0.173399196,83,35.69919679,1.000030024,1.000023813,1.551497499,1.087642536,1.027373665,0.912890191,0.474727499,0.795706455,19.10627124,20.13253012,3.289156627,2.036144578,4.385542169,1.096385542,0.734939759,0.474727499,-0.116948202,-1.530120482
32,Jarrett Allen,0.094503067,0.156011383,68,32.64779412,1.000026568,1.000010158,0.073800489,1.138456809,0.934583706,1.064531518,-0.164225692,1.355892956,23.10803297,14.25,1.661764706,0.014705882,9.794117647,0.794117647,1.235294118,-0.164225692,1.547270127,-1.367647059
33,Dejounte Murray,0.212160716,0.153494451,74,36.39662162,1.000030192,1.000036015,1.43641101,1.098900566,1.12933394,0.668734772,0.123285071,0.753426561,7.964352678,20.47297297,6.054054054,1.797297297,5.256756757,1.513513514,0.256756757,0.123285071,-0.208687666,-2.162162162
34,Bam Adebayo,0.261330669,0.152558839,75,34.64088889,1.000030149,1.000023263,0.069466377,1.134228144,1.048030194,0.940686434,0.120104162,1.192087786,4.457933185,20.38666667,3.2,0.013333333,9.173333333,1.173333333,0.813333333,0.120104162,0.960996946,-2.493333333
35,Desmond Bane,0.208605522,0.148952347,58,31.74913793,1.000030681,1.000029538,1.914658369,1.095992105,0.989754248,0.750598492,0.351200956,0.871386379,7.834553572,21.5,4.379310345,2.862068966,5.017241379,0.965517241,0.379310345,0.351200956,0.057268157,-2.172413793
36,Jrue Holiday,0.3068078,0.132731558,67,32.57562189,1.000029577,1.000039998,1.698807137,1.096883744,1.049540412,0.746960762,0.198647908,0.86842299,1.627256898,19.25373134,7.388059701,2.358208955,5.089552239,1.179104478,0.373134328,0.198647908,0.050195484,-2.940298507
37,Karl-Anthony Towns,0.304788761,0.127537344,29,33.00172414,1.00003033,1.000031487,1.566898209,1.126534537,0.896688745,0.853801651,0.421346256,0.964198099,1.520466144,20.75862069,4.827586207,2.068965517,8.137931034,0.689655172,0.586206897,0.421346256,0.289729527,-2.965517241
38,Anthony Edwards,0.341636039,0.11810262,79,35.9685654,1.000032041,1.00002977,1.845337583,1.105031956,1.144156815,0.912609781,-0.14763849,0.694766135,0.562182935,24.63291139,4.430379747,2.696202532,5.797468354,1.582278481,0.734177215,-0.14763849,-0.329713623,-3.278481013
39,Clint Capela,-0.04308511,0.106082502,65,26.61820513,1.000024837,0.999997721,0,1.14617594,0.897699527,1.059424916,-0.363795507,1.333660166,40.32105415,11.98461538,0.892307692,0,11.03076923,0.692307692,1.215384615,-0.363795507,1.461953839,-0.830769231
40,De'Aaron Fox,0.19025876,0.09125502,73,33.35890411,1.000032195,1.000036243,1.352355362,1.084853041,1.038396093,0.710489998,-0.024213267,1.099317129,4.578213818,25.01369863,6.123287671,1.630136986,4.191780822,1.136986301,0.315068493,-0.024213267,0.669161112,-2.479452055
41,Pascal Siakam,0.15962639,0.07739452,71,37.34882629,1.000031875,1.000035313,1.181434463,1.124075775,0.974420724,0.817919884,-0.062094355,0.879282067,5.502292764,24.22535211,5.845070423,1.309859155,7.830985915,0.915492958,0.507042254,-0.062094355,0.076215309,-2.38028169
42,Trey Murphy,-0.092235647,0.070294817,79,30.98670886,1.000026764,1.000006981,1.785875941,1.074775685,1.035598423,0.835266172,0.29269741,0.881498312,42.60785262,14.53164557,1.417721519,2.556962025,3.556962025,1.126582278,0.544303797,0.29269741,0.081560539,-0.772151899
43,Jalen Brunson,0.104417791,0.067688385,68,34.98210784,1.000031787,1.000036463,1.520449074,1.074554747,0.968621009,0.639351604,0.262403514,0.957682648,8.943874213,24.01470588,6.191176471,1.970588235,3.544117647,0.897058824,0.220588235,0.262403514,0.272697107,-2.088235294
44,Jaylen Brown,0.227176384,0.061948077,67,35.89452736,1.00003282,1.000024841,1.731816518,1.115565266,1.033657229,0.75568123,-0.09769483,0.973830023,1.627256898,26.62686567,3.462686567,2.432835821,6.850746269,1.119402985,0.388059701,-0.09769483,0.315113067,-2.940298507
45,Darius Garland,0.215647755,0.059281693,69,35.46642512,1.000030725,1.000041076,1.739035846,1.05764903,1.063115463,0.547279939,0.369223006,0.748905206,1.883524579,21.5942029,7.797101449,2.449275362,2.68115942,1.231884058,0.130434783,0.369223006,-0.218270547,-2.884057971
46,Buddy Hield,0.03988709,0.057607265,80,31.02354167,1.000028214,1.000020682,2.206114529,1.095777719,1.041870166,0.717045578,0.061505216,0.741127443,14.71830468,16.8,2.8125,3.6,5,1.15,0.325,0.061505216,-0.23465426,-1.7375
47,Zach LaVine,0.15659516,0.055935939,77,35.9474026,1.000032127,1.000028924,1.825463835,1.088967682,0.968318286,0.650425082,0.358898482,0.915623315,4.237227724,24.84415584,4.246753247,2.649350649,4.480519481,0.896103896,0.233766234,0.358898482,0.165377862,-2.519480519
48,Trae Young,0.393037766,0.051758768,73,34.80547945,1.000032665,1.000046352,1.585831421,1.063869525,1.027237479,0.538228587,0.894567979,0.373812862,0,26.21917808,10.15068493,2.109589041,2.97260274,1.095890411,0.123287671,0.894567979,-0.87968899,-4.109589041
49,Mitchell Robinson,-0.137641564,0.040345586,59,26.96779661,1.000019978,0.999997855,0,1.135849132,0.98480121,1.199195675,-0.620248205,1.182296046,45.75333902,7.372881356,0.898305085,0,9.406779661,0.949152542,1.847457627,-0.620248205,0.928900827,-0.694915254
50,Evan Mobley,0.035489601,0.038789214,79,34.36940928,1.000027829,1.000020844,0.453994128,1.132999196,0.922435971,1.128895148,-0.420291741,1.18668253,12.68528304,16.16455696,2.835443038,0.278481013,9,0.759493671,1.506329114,-0.420291741,0.943240329,-1.848101266
51,Cam Johnson,-0.120968172,0.03008837,42,28.56587302,1.000027393,1.000012381,1.740397565,1.087912864,1.052500995,0.722438256,0.16601146,0.82150081,38.43071739,15.47619048,1.857142857,2.452380952,4.404761905,1.19047619,0.333333333,0.16601146,-0.059044168,-0.880952381
52,Bradley Beal,0.184568876,0.02950702,50,33.45833333,1.000031442,1.000033802,1.336856873,1.080728109,0.969551967,0.884292277,0.266954287,1.050728687,1.808290223,23.2,5.42,1.6,3.92,0.9,0.66,0.266954287,0.526780057,-2.9
53,Deandre Ayton,0.003219725,0.017796157,67,30.37985075,1.000028879,1.000010805,0.247771103,1.139512884,0.840077608,0.932982771,-0.070336287,1.341912197,13.70845648,17.95522388,1.71641791,0.104477612,9.955223881,0.552238806,0.791044776,-0.070336287,1.493399102,-1.791044776
54,Walker Kessler,-0.156905681,0.011242351,74,23.01756757,1.000022166,0.999998601,0.070044748,1.128400269,0.735672044,1.285721566,-0.575492735,1.307969372,42.14724249,9.175675676,0.932432432,0.013513514,8.378378378,0.351351351,2.337837838,-0.575492735,1.365701333,-0.783783784
55,Tobias Harris,-0.0998979,0.005445204,74,32.91711712,1.000026853,1.000018434,1.389230957,1.104294128,0.975489481,0.833552961,0.161086721,0.962119371,27.71687146,14.66216216,2.513513514,1.702702703,5.72972973,0.918918919,0.540540541,0.161086721,0.284283342,-1.202702703
56,Delon Wright,-0.149057276,0.00524866,50,24.423,1.000019988,1.000027117,0.884632349,1.075510541,1.195965728,0.726684456,0.099724813,0.843463677,38.46602046,7.38,3.88,0.82,3.6,1.84,0.34,0.099724813,-0.00855012,-0.88
57,Rudy Gobert,-0.018671889,0.004832691,70,30.69214286,1.000025964,1.000004348,0,1.149618816,0.936610127,1.094584288,-0.67730433,1.325849662,14.61506887,13.41428571,1.242857143,0,11.62857143,0.8,1.357142857,-0.67730433,1.432429146,-1.742857143
58,Jamal Murray,0.05142888,0.0013734,65,32.82102564,1.000029942,1.000036342,1.824102931,1.081256256,1.004490751,0.660440487,0.165391788,0.688850202,7.122938405,19.96923077,6.153846154,2.646153846,3.953846154,1.015384615,0.246153846,0.165391788,-0.341529674,-2.230769231
59,Brandon Ingram,0.205553889,-0.004262284,45,34.18222222,1.000032073,1.000035234,1.243048289,1.101348526,0.904787531,0.774787543,0.597132388,0.909842099,0.540554178,24.71111111,5.822222222,1.422222222,5.466666667,0.711111111,0.422222222,0.597132388,0.150976132,-3.288888889
60,Andrew Wiggins,-0.097921267,-0.005549244,37,32.16936937,1.000028396,1.000016635,1.719728949,1.096113475,1.059129261,0.920827604,-0.335581385,0.827916354,25.00430282,17.10810811,2.297297297,2.405405405,5.027027027,1.216216216,0.756756757,-0.335581385,-0.044408903,-1.297297297
61,Gary Trent,-0.178965909,-0.015046074,66,32.08964646,1.000028562,1.000009476,1.767781062,1.056290754,1.142770946,0.631988679,0.172267507,0.548290518,40.22297024,17.39393939,1.606060606,2.515151515,2.621212121,1.575757576,0.212121212,0.172267507,-0.60266157,-0.833333333
62,Al Horford,-0.217457378,-0.016095363,63,30.50952381,1.000022801,1.000021972,1.673494763,1.10915867,0.804331507,0.990498151,-0.023092314,0.848098744,50.39355011,9.777777778,3,2.301587302,6.19047619,0.476190476,0.968253968,-0.023092314,0.002248656,-0.587301587
63,Klay Thompson,-0.038067026,-0.017765984,69,33.02705314,1.000030851,1.000017193,2.484010578,1.084160269,0.904426574,0.773736463,0.182169992,0.479043923,13.86433617,21.86956522,2.362318841,4.362318841,4.144927536,0.710144928,0.420289855,0.182169992,-0.718424105,-1.782608696
64,Jakob Poeltl,-0.047432804,-0.019823195,72,26.47384259,1.000025224,1.000020131,0,1.133494221,0.97478719,1.053990005,-0.534667971,1.295459908,14.74515009,12.45833333,2.736111111,0,9.069444444,0.916666667,1.194444444,-0.534667971,1.319721329,-1.736111111
65,Zion Williamson,0.205181967,-0.021430107,29,32.97011494,1.000032582,1.000030462,0.41561749,1.116619069,1.029311562,0.838619978,-0.597363408,1.496804228,0.323306635,26,4.586206897,0.24137931,6.965517241,1.103448276,0.551724138,-0.597363408,2.134435322,-3.413793103
66,Kris Dunn,-0.074702072,-0.024489152,22,25.7969697,1.000025789,1.000034585,0.852773721,1.089858508,1.038229167,0.791887398,-0.024037307,1.076779894,17.73910633,13.18181818,5.636363636,0.772727273,4.545454545,1.136363636,0.454545455,-0.024037307,0.602258468,-1.590909091
67,Robert Williams,-0.168926267,-0.024737338,35,23.53095238,1.000020759,1.000007134,0,1.128127849,0.872611875,1.09798153,-0.203601968,1.295001831,35.17621193,7.971428571,1.428571429,0,8.342857143,0.628571429,1.371428571,-0.203601968,1.318048504,-0.971428571
68,Jerami Grant,-0.038875017,-0.026391785,63,35.64338624,1.000030193,1.00001735,1.666356247,1.089126938,0.939868796,0.950135092,0.159072565,0.845021514,12.80495977,20.47619048,2.380952381,2.285714286,4.492063492,0.80952381,0.841269841,0.159072565,-0.004926254,-1.841269841
69,Jalen Williams,-0.069965903,-0.026896732,75,30.34,1.000026448,1.000023919,0.983442988,1.089144432,1.097575715,0.79807897,0.07119377,1.035644181,16.68472998,14.08,3.306666667,0.973333333,4.493333333,1.373333333,0.466666667,0.07119377,0.483966103,-1.64
70,Julius Randle,0.101827038,-0.031261436,77,35.55,1.000032246,1.000028239,1.901863112,1.139550701,0.87577279,0.680784271,-0.182750264,0.708873176,2.287130246,25.14285714,4.103896104,2.831168831,9.961038961,0.636363636,0.272727273,-0.182750264,-0.301253555,-2.805194805
71,De'Anthony Melton,-0.140741454,-0.04730222,77,27.91926407,1.000023155,1.000018788,1.552822783,1.082763326,1.155498669,0.829849218,0.010779856,0.646351216,24.25425403,10.12987013,2.558441558,2.038961039,4.051948052,1.636363636,0.532467532,0.010779856,-0.424389984,-1.324675325
72,Onyeka Okongwu,-0.1901956,-0.049179885,80,23.10729167,1.000022913,1.000000248,0.157164253,1.11872207,0.900615408,1.089871722,-0.007228507,1.206028709,33.7626893,9.8875,1.0125,0.05,7.2,0.7,1.3375,-0.007228507,1.007239243,-1.0125
73,Tyrese Maxey,-0.144177201,-0.051523327,60,33.59472222,1.000030107,1.000025245,1.832824518,1.063065807,0.942295065,0.550851288,0.218352572,0.880089268,24.02027664,20.3,3.533333333,2.666666667,2.933333333,0.816666667,0.133333333,0.218352572,0.078160778,-1.333333333
74,Devin Vassell,-0.120023158,-0.052519916,38,31.00219298,1.000029178,1.000025502,1.851387069,1.080331083,1.036944309,0.788166363,-0.009375411,0.561316584,19.80944571,18.5,3.578947368,2.710526316,3.894736842,1.131578947,0.447368421,-0.009375411,-0.579975228,-1.5
75,Tyler Herro,0.009365624,-0.053195176,67,34.87711443,1.00003001,1.000028602,1.983233716,1.100268907,0.923041574,0.654543765,0.4088298,0.546836644,5.723897972,20.10447761,4.179104478,3.029850746,5.373134328,0.76119403,0.23880597,0.4088298,-0.60517537,-2.358208955
76,D'Angelo Russell,0.046291497,-0.055623926,71,32.45234742,1.000028786,1.000036346,1.860599271,1.064989843,0.995845746,0.767221329,0.137330512,0.810492155,3.459761689,17.78873239,6.154929577,2.732394366,3.028169014,0.985915493,0.408450704,0.137330512,-0.083939575,-2.61971831
77,Michael Porter Jr.,-0.192874911,-0.062921749,62,28.99704301,1.000028576,1.000000945,1.984206906,1.101729077,0.859418561,0.79862273,0.031814214,0.909815685,30.98396612,17.41935484,1.048387097,3.032258065,5.5,0.596774194,0.467741935,0.031814214,0.150910524,-1.096774194
78,Kyle Anderson,-0.132908977,-0.062997159,69,28.35531401,1.000022383,1.000031601,0.746683203,1.099804108,1.036636492,0.973436984,-0.095137988,0.944888711,19.98119771,9.376811594,4.855072464,0.623188406,5.333333333,1.130434783,0.913043478,-0.095137988,0.239572914,-1.492753623
79,Alperen Sengun,0.024538472,-0.068707202,75,28.94488889,1.000026938,1.000027117,0.428213896,1.133284769,0.979955587,0.97978928,-0.262213932,1.150110063,3.806257782,14.78666667,3.88,0.253333333,9.04,0.933333333,0.933333333,-0.262213932,0.825586376,-2.573333333
80,Kevin Porter,0.110776418,-0.074698794,59,34.30367232,1.000029525,1.000034911,1.712842216,1.099671557,1.101428833,0.691947444,0.002363708,0.605788644,0.779620492,19.15254237,5.728813559,2.389830508,5.322033898,1.389830508,0.288135593,0.002363708,-0.500257169,-3.186440678
81,Scottie Barnes,-0.071925726,-0.077167193,77,34.77748918,1.000027287,1.000031448,0.883420222,1.113675188,1.022265585,0.933388501,-0.035797575,0.727174853,10.21627983,15.31168831,4.818181818,0.818181818,6.649350649,1.077922078,0.792207792,-0.035797575,-0.263727682,-2
82,Derrick White,-0.212021222,-0.08826633,82,28.28292683,1.000025179,1.000027295,1.446153328,1.075053421,0.884620157,0.977763685,0.214097195,0.790255914,29.0490662,12.40243902,3.914634146,1.817073171,3.573170732,0.658536585,0.926829268,0.214097195,-0.128993775,-1.158536585
83,Josh Hart,-0.154393356,-0.0883923,76,32.29035088,1.0000228,1.000026783,0.873010934,1.123844079,1.04396419,0.68342302,-0.077724046,0.991996841,18.89141489,9.776315789,3.815789474,0.802631579,7.802631579,1.157894737,0.276315789,-0.077724046,0.363659655,-1.539473684
84,C.J. McCollum,-0.017896443,-0.088453647,75,35.31711111,1.000030401,1.00003488,1.894453414,1.087470235,0.979955587,0.817740537,-0.046505496,0.491734754,4.932057842,20.90666667,5.72,2.813333333,4.373333333,0.933333333,0.506666667,-0.046505496,-0.69780381,-2.44
85,Kevin Huerter,-0.192768518,-0.089323565,75,29.37133333,1.000027213,1.000021614,1.860994191,1.071059817,1.019121279,0.713763088,-0.101956106,0.892101396,25.11418765,15.2,2.946666667,2.733333333,3.346666667,1.066666667,0.32,-0.101956106,0.10729805,-1.293333333
